what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369807628395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369807633615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369807634755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369807636348
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369807647875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369807675975
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807676002
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369807676045
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807696951
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807699845
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807700065
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807705405
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369807705705
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807707005
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807707752
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807713108
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807716353
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807721734
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369807721962
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369807722070
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807722709
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807722944
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807745707
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1369807745981
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1369807746101
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807751894
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1369807751895
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807771198
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807771415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369807783211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369807785719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369807788590
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807796736
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807796971
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807800704
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369807801040
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807802348
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807802585
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369807803352
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1369807803904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369807825043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369807825407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369807831725
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1369807841009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369807841760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369807845705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369807846714
