what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174444457
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1370174444659
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174452678
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370174452866
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174456546
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1370174456893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1370174459597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370174460521
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174464013
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1370174464160
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174464964
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370174465162
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1370174467811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174470850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174472926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174474615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174505822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174508247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174510160
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174520926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174524268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174545686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1370174545711
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1370174546217
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1370174546392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174546837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174650954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174654176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174654420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174655782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174715464
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174716481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174719327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174722714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174726494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174732525
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370174733025
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370174733137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1370174735864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1370174755281
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1370174756040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370174756086
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1370174760242
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174764881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1370174766212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174771060
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1370174774268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370174774724
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1370174774738
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370174775716
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370174806471
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1370174806725
activated,view,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui.HelpView",1370174809933
