what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371206538403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206539463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206547665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206618802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1371206618849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206638896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206649851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206651223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206665498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206739755
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1371206743494
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1371206745117
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1371206745725
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1371206746027
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1371206757186
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206758326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206818562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206836021
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1371206841810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371206842321
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1371206844256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206851494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206854027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371206854058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206854064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371206861530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371206863674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1371206864622
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1371206865190
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1371206880991
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206881322
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206881430
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206883203
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206883203
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206886223
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1371206886470
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206886711
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206886820
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1371206886913
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206887221
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1371206887295
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1371206887504
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371206887572
